Date,Open,High,Low,Close,Volume
2024-01-02,472.16,473.67,469.88,472.65,123456789
2024-01-03,470.43,471.19,468.17,468.79,120345678
2024-01-04,468.30,470.96,467.05,467.28,112233445
2024-01-05,467.49,470.44,467.12,469.35,99887766
2024-01-08,470.00,474.75,469.95,474.60,101010101
2024-01-09,474.55,475.10,472.08,473.27,98765432
2024-01-10,474.27,476.10,473.69,475.58,96543210
2024-01-11,476.11,478.62,475.58,478.02,93456789
2024-01-12,478.24,479.16,476.31,476.68,91234567
2024-01-16,475.11,476.84,472.28,474.93,90112233
2024-01-17,472.62,473.20,468.58,470.70,94561234
2024-01-18,472.03,474.11,471.22,473.68,88990011
2024-01-19,474.01,477.16,473.81,476.49,87766554
2024-01-22,476.60,482.06,476.35,481.70,86655443
2024-01-23,482.10,484.45,481.52,483.82,85544332
2024-01-24,485.09,486.75,484.37,485.39,84433221
2024-01-25,486.17,489.33,485.98,488.03,83322110
2024-01-26,488.18,489.91,487.62,488.97,82211009
2024-01-29,489.66,491.05,488.92,490.89,81100998
2024-01-30,489.20,490.42,486.81,488.15,80099887
2024-01-31,486.98,489.01,484.75,486.36,79988776
2024-02-01,487.22,489.29,486.15,488.20,78877665
2024-02-02,489.50,492.11,488.90,491.22,77766554
2024-02-05,491.80,493.47,490.61,492.55,76655443
2024-02-06,492.60,494.03,491.10,493.30,75544332
2024-02-07,493.85,495.22,492.40,494.18,74433221
2024-02-08,494.42,496.70,493.98,496.42,73322110
2024-02-09,496.83,498.61,496.00,497.78,72211009
2024-02-12,498.11,500.25,497.36,499.88,71100998
2024-02-13,500.02,501.69,498.75,500.98,70099887
